RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
11,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39401,1994,UGSYFREKU3,        -23.667,         29.600,     1250,1994333,1994334,1994340,1995037,1995102,1995102,1995,-99,7870,1730,1730,0,2582,.2378558,727,121.2195,.2198191,2.467079,-99.00000,-99,-99,-99,-99,-99,0,0,321,309,178,130,8,77,13,1,40,0,69,2,6,37,59,20,.7379940E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9234,9234,0,0,92471,92471,355.7500,.000000,24.55523,25.84603,44.16776,-99.00000,5.397815,5.681564,9.709110,-99.00000,196.7488,114.0573,43.25000,25.07246,133,27.13384,15.18421,16.93684,12.81866,380.0000,320.5000,304.4936,127.3197,178.1832,1,
12,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39501,1995,UGSYFREKU3,        -23.667,         29.600,     1250,1995333,1995334,1995341,1996042,1996121,1996121,1996,-99,9982,3418,3418,0,4728,.3688461,927,154.4519,.3424142,2.482503,-99.00000,-99,-99,-99,-99,-99,0,0,381,353,233,121,13,95,6,1,40,0,80,1,5,47,69,36,.8129772E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9224,9224,0,0,92383,92383,450.4922,.000000,26.42962,28.66561,42.89950,-99.00000,9.049511,9.815115,14.68880,-99.00000,249.5617,124.7808,85.45000,42.72500,152,25.30789,13.51842,16.47303,12.63141,380.0000,377.7000,348.2384,116.0058,232.6942,1,
13,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39601,1996,UGSYFREKU3,        -23.667,         29.600,     1250,1996333,1996334,1996341,1997034,1997101,1997101,1997,-99,8490,2338,2338,0,3354,.3070956,761,126.9007,.2754197,2.431073,-99.00000,-99,-99,-99,-99,-99,0,0,484,418,233,185,25,117,11,1,40,0,76,3,5,45,63,26,.2687931,-99,-99,-99,-99,-99,-99,-99,-99,0,9226,9226,0,0,92390,92390,431.1328,.000000,17.88818,20.47687,36.48114,-99.00000,4.926254,5.639158,10.04660,-99.00000,212.2432,111.7070,58.45000,30.76316,133,26.90150,15.49399,17.25940,12.83288,380.0000,474.6000,414.6009,183.1224,232.7156,1,
14,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39701,1997,UGSYFREKU3,        -23.667,         29.600,     1250,1997333,1997334,1997340,1998024,1998076,1998076,1998,-99,7211,1323,1323,0,2108,.1895818,698,116.3478,.1835289,2.547799,-99.00000,-99,-99,-99,-99,-99,0,0,264,280,178,101,12,0,59,1,40,0,70,0,5,35,61,17,.6742384E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9235,9235,0,0,92432,92432,325.3594,.000000,27.35622,26.11480,40.40017,-99.00000,5.018968,4.791209,7.412105,-99.00000,180.2775,103.0157,33.07500,18.90000,107,29.49532,20.22243,18.05140,13.05885,380.0000,263.6000,276.1307,99.12122,178.4918,1,
15,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39801,1998,UGSYFREKU3,        -23.667,         29.600,     1250,1998333,1998334,1998343,1999039,1999106,1999106,1999,-99,7312,1419,1419,0,2121,.2286264,621,103.4565,.1940849,2.577200,-99.00000,-99,-99,-99,-99,-99,0,0,209,274,165,109,0,23,0,1,40,0,69,0,5,35,58,17,.7067592E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9236,9236,0,0,92520,92520,333.8594,.000000,35.00299,27.31071,44.41935,-99.00000,6.792724,5.299950,8.620074,-99.00000,182.8031,105.9728,35.47500,20.56522,137,26.66715,14.70438,17.74818,12.77967,380.0000,208.9000,267.7384,103.2308,164.6158,1,
16,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39901,1999,UGSYFREKU3,        -23.667,         29.600,     1250,1999333,1999334,1999341,2000040,2000099,2000099,2000,-99,7246,1513,1513,0,2401,.2438347,621,103.4364,.2088442,2.344885,-99.00000,-99,-99,-99,-99,-99,0,0,659,433,232,202,29,192,92,1,40,0,82,3,7,52,62,19,.7624944E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9220,9220,0,0,92322,92322,477.2031,.000000,11.03899,17.04290,31.24776,-99.00000,2.304997,3.558644,6.524692,-99.00000,181.1498,88.36575,37.82500,18.45122,130,25.31692,17.66615,17.71077,12.84764,380.0000,656.3999,425.1619,194.9805,231.8883,1,
17,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30001,2000,UGSYFREKU3,        -23.667,         29.600,     1250,2000333,2000334,2000341,2001036,2001097,2001097,2001,-99,4219,881,881,0,1055,.2621577,336,60.00389,.2086932,2.065696,-99.00000,-99,-99,-99,-99,-99,0,0,213,249,138,111,0,47,4,1,40,0,65,0,6,31,48,15,.7875726E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9240,9240,0,0,92532,92532,302.3594,.000000,19.77217,17.31888,30.65362,-99.00000,4.128397,3.616154,6.400428,-99.00000,105.4845,64.91355,22.02500,13.55385,129,27.76048,15.13333,16.08837,12.87120,380.0000,213.4000,243.6290,106.9810,137.6470,1,
18,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30101,2001,UGSYFREKU3,        -23.667,         29.600,     1250,2001333,2001334,2001341,2002036,2002097,2002097,2002,-99,8294,1959,1959,0,3141,.2278508,860,143.2771,.2361676,2.559732,-99.00000,-99,-99,-99,-99,-99,0,0,261,318,211,107,4,27,0,1,40,0,70,1,6,37,58,21,.9005218E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9234,9234,0,0,92516,92516,362.3750,.000000,31.78951,26.29456,39.37621,-99.00000,7.508623,6.210725,9.300588,-99.00000,207.3471,118.4841,48.97500,27.98571,128,27.89453,15.16640,17.66250,12.86682,380.0000,260.9000,315.4221,104.8991,210.6319,1,
19,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30201,2002,UGSYFREKU3,        -23.667,         29.600,     1250,2002333,2002334,2002341,2003033,2003088,2003088,2003,-99,6383,1167,1167,0,1776,.2017018,579,96.43983,.1828537,2.376282,-99.00000,-99,-99,-99,-99,-99,0,0,219,261,163,98,6,26,13,1,40,0,69,1,5,36,59,16,.6895147E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9235,9235,0,0,92441,92441,347.9844,.000000,29.11879,25.07728,39.16428,-99.00000,5.323905,4.584980,7.160563,-99.00000,159.5710,92.50490,29.17500,16.91304,119,29.11345,16.34286,17.58572,12.95148,380.0000,219.2000,254.5267,93.30607,162.9760,1,
20,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30301,2003,UGSYFREKU3,        -23.667,         29.600,     1250,2003333,2003334,2003340,2004033,2004096,2004096,2004,-99,8873,2547,2547,0,3687,.2873580,886,147.7218,.2870584,2.535353,-99.00000,-99,-99,-99,-99,-99,0,0,457,370,227,143,12,96,65,1,40,0,81,3,6,50,69,30,.8972706E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9220,9220,0,0,92294,92294,457.7422,.000000,19.43179,24.33924,39.04490,-99.00000,5.578187,6.986942,11.20842,-99.00000,221.8139,109.5377,63.67500,31.44444,127,27.13228,16.66299,15.82520,12.87637,380.0000,456.6000,364.5372,138.6068,227.2398,1,
