"Treatment","Mean_Yield","Mean_N_Uptake","NUE"
"N100",1517.97222222222,34.1111111111111,37.9493055555556
"N50_50",1504.94444444444,34,37.6236111111111
"N33_33_33",1671.5,34.6111111111111,41.7875
"N25_25_25_25",1699.30555555556,34.75,42.4826388888889
