"Treatment","Mean_Yield","SD_Yield","CV_percent","Mean_Biomass","Mean_N_Uptake","Mean_Harvest_Index","Mean_Anthesis","Mean_Maturity"
"N100",1517.97222222222,928.062543647051,61.1383087292877,1517.97222222222,34.1111111111111,2.20515620833333,-278736.388888889,716.722222222222
"N50_50",1504.94444444444,892.20077639331,59.2846320465118,1504.94444444444,34,2.14651390277778,-278736.388888889,716.722222222222
"N33_33_33",1671.5,1001.63074176921,59.9240647184692,1671.5,34.6111111111111,1.72920271666667,-278736.388888889,716.722222222222
"N25_25_25_25",1699.30555555556,1003.840249654,59.0735578055478,1699.30555555556,34.75,1.72152415833333,-278736.388888889,716.722222222222
