"Treatment","Mean_Anthesis","Mean_Maturity","Mean_Yield","Mean_Biomass","Mean_Harvest_Index"
"N100",67,128,2067,7613,0.272
"N50_50",70,132,1369,7290,0.188
"N33_33_33",NA,NA,0,1921,0
"N25_25_25_25",69,132,2233,8506,0.263
NA,66.9612403100775,128.264462809917,1603.60714285714,6489.29285714286,0.217592857142857
