"Treatment","Mean_Yield","SD_Yield","Minimum","Maximum","CV_percent"
"N100",1517.97222222222,928.062543647051,0,3662,61.1383087292877
"N50_50",1504.94444444444,892.20077639331,0,3440,59.2846320465118
"N33_33_33",1671.5,1001.63074176921,0,3672,59.9240647184692
"N25_25_25_25",1699.30555555556,1003.840249654,0,3669,59.0735578055478
